ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
瞻,7,0.0183%,7,0.0015%
砌,7,0.0183%,7,0.0015%
碌,4,0.0104%,7,0.0015%
碣,7,0.0183%,7,0.0015%
礪,7,0.0183%,7,0.0015%
秪,6,0.0157%,7,0.0015%
穎,7,0.0183%,7,0.0015%
窬,7,0.0183%,7,0.0015%
竿,7,0.0183%,7,0.0015%
笙,7,0.0183%,7,0.0015%
粱,7,0.0183%,7,0.0015%
系,7,0.0183%,7,0.0015%
紂,7,0.0183%,7,0.0015%
紜,6,0.0157%,7,0.0015%
絃,7,0.0183%,7,0.0015%
緯,7,0.0183%,7,0.0015%
罄,7,0.0183%,7,0.0015%
翕,6,0.0157%,7,0.0015%
胞,7,0.0183%,7,0.0015%
腋,7,0.0183%,7,0.0015%
膳,7,0.0183%,7,0.0015%
莖,7,0.0183%,7,0.0015%
蕃,7,0.0183%,7,0.0015%
薪,7,0.0183%,7,0.0015%
蘆,7,0.0183%,7,0.0015%
虧,7,0.0183%,7,0.0015%
蠢,6,0.0157%,7,0.0015%
衂,7,0.0183%,7,0.0015%
裡,7,0.0183%,7,0.0015%
訶,7,0.0183%,7,0.0015%
譛,7,0.0183%,7,0.0015%
譯,7,0.0183%,7,0.0015%
譽,7,0.0183%,7,0.0015%
賚,7,0.0183%,7,0.0015%
赫,5,0.0130%,7,0.0015%
趐,7,0.0183%,7,0.0015%
趣,7,0.0183%,7,0.0015%
轅,7,0.0183%,7,0.0015%
辦,6,0.0157%,7,0.0015%
迄,7,0.0183%,7,0.0015%
逗,7,0.0183%,7,0.0015%
逵,7,0.0183%,7,0.0015%
鄂,7,0.0183%,7,0.0015%
酬,7,0.0183%,7,0.0015%
醇,5,0.0130%,7,0.0015%
鈽,7,0.0183%,7,0.0015%
鍼,6,0.0157%,7,0.0015%
閔,7,0.0183%,7,0.0015%
随,7,0.0183%,7,0.0015%
雋,7,0.0183%,7,0.0015%
霍,7,0.0183%,7,0.0015%
飯,7,0.0183%,7,0.0015%
驍,7,0.0183%,7,0.0015%
鼠,7,0.0183%,7,0.0015%
�,7,0.0183%,7,0.0015%
𠱋,7,0.0183%,7,0.0015%
𠼯,7,0.0183%,7,0.0015%
𠾿,7,0.0183%,7,0.0015%
𡏢,7,0.0183%,7,0.0015%
𢚷,7,0.0183%,7,0.0015%
𢯰,7,0.0183%,7,0.0015%
𢹂,7,0.0183%,7,0.0015%
𣘽,7,0.0183%,7,0.0015%
𣙩,7,0.0183%,7,0.0015%
𣼽,7,0.0183%,7,0.0015%
𤄯,7,0.0183%,7,0.0015%
𤯭,7,0.0183%,7,0.0015%
𥊢,7,0.0183%,7,0.0015%
𥋴,7,0.0183%,7,0.0015%
𥒦,7,0.0183%,7,0.0015%
𦒹,7,0.0183%,7,0.0015%
𦯬,7,0.0183%,7,0.0015%
𧇊,7,0.0183%,7,0.0015%
𨒣,7,0.0183%,7,0.0015%
𩛷,6,0.0157%,7,0.0015%
𩲉,7,0.0183%,7,0.0015%
𪘵,7,0.0183%,7,0.0015%
𪱆,7,0.0183%,7,0.0015%
𫅜,7,0.0183%,7,0.0015%
𫇰,7,0.0183%,7,0.0015%
𬌥,7,0.0183%,7,0.0015%
󰀡,7,0.0183%,7,0.0015%
󰉚,7,0.0183%,7,0.0015%
󰌺,7,0.0183%,7,0.0015%
󰍹,7,0.0183%,7,0.0015%
󰑚,7,0.0183%,7,0.0015%
󰘂,6,0.0157%,7,0.0015%
󰝺,7,0.0183%,7,0.0015%
󰠓,7,0.0183%,7,0.0015%
󰠢,7,0.0183%,7,0.0015%
󰡢,7,0.0183%,7,0.0015%
󰪽,6,0.0157%,7,0.0015%
󰱆,7,0.0183%,7,0.0015%
㩫,6,0.0157%,6,0.0013%
㮠,5,0.0130%,6,0.0013%
㳶,6,0.0157%,6,0.0013%
㵆,6,0.0157%,6,0.0013%
䏓,6,0.0157%,6,0.0013%
䛕,6,0.0157%,6,0.0013%
䟽,6,0.0157%,6,0.0013%
亘,6,0.0157%,6,0.0013%
亹,3,0.0078%,6,0.0013%
佩,6,0.0157%,6,0.0013%
佺,6,0.0157%,6,0.0013%
俩,6,0.0157%,6,0.0013%
傲,6,0.0157%,6,0.0013%
僭,6,0.0157%,6,0.0013%
儔,6,0.0157%,6,0.0013%
刖,5,0.0130%,6,0.0013%
剥,6,0.0157%,6,0.0013%
勃,4,0.0104%,6,0.0013%
匝,6,0.0157%,6,0.0013%
匣,6,0.0157%,6,0.0013%
厄,6,0.0157%,6,0.0013%
厙,6,0.0157%,6,0.0013%
叁,6,0.0157%,6,0.0013%
发,6,0.0157%,6,0.0013%
号,6,0.0157%,6,0.0013%
吱,6,0.0157%,6,0.0013%
咽,6,0.0157%,6,0.0013%
唒,6,0.0157%,6,0.0013%
唹,6,0.0157%,6,0.0013%
唾,6,0.0157%,6,0.0013%
嗞,5,0.0130%,6,0.0013%
噠,3,0.0078%,6,0.0013%
器,6,0.0157%,6,0.0013%
噬,6,0.0157%,6,0.0013%
噴,5,0.0130%,6,0.0013%
址,6,0.0157%,6,0.0013%
壅,6,0.0157%,6,0.0013%
妓,6,0.0157%,6,0.0013%
姂,6,0.0157%,6,0.0013%
嬖,6,0.0157%,6,0.0013%
嬴,6,0.0157%,6,0.0013%
孥,6,0.0157%,6,0.0013%
宛,6,0.0157%,6,0.0013%
崑,6,0.0157%,6,0.0013%
嵗,6,0.0157%,6,0.0013%
巷,6,0.0157%,6,0.0013%
带,6,0.0157%,6,0.0013%
徯,6,0.0157%,6,0.0013%
恂,5,0.0130%,6,0.0013%
恄,6,0.0157%,6,0.0013%
愜,6,0.0157%,6,0.0013%
抇,6,0.0157%,6,0.0013%
抪,6,0.0157%,6,0.0013%
掾,6,0.0157%,6,0.0013%
揜,6,0.0157%,6,0.0013%
搗,6,0.0157%,6,0.0013%
撮,6,0.0157%,6,0.0013%
撻,6,0.0157%,6,0.0013%
攔,6,0.0157%,6,0.0013%
攪,6,0.0157%,6,0.0013%
攬,6,0.0157%,6,0.0013%
敖,6,0.0157%,6,0.0013%
敞,6,0.0157%,6,0.0013%
时,6,0.0157%,6,0.0013%
晃,6,0.0157%,6,0.0013%
晟,6,0.0157%,6,0.0013%
杆,5,0.0130%,6,0.0013%
杙,4,0.0104%,6,0.0013%
杻,5,0.0130%,6,0.0013%
枌,6,0.0157%,6,0.0013%
柰,6,0.0157%,6,0.0013%
棃,6,0.0157%,6,0.0013%
棋,6,0.0157%,6,0.0013%
榛,6,0.0157%,6,0.0013%
槾,6,0.0157%,6,0.0013%
橛,6,0.0157%,6,0.0013%
櫛,6,0.0157%,6,0.0013%
汴,6,0.0157%,6,0.0013%
汾,6,0.0157%,6,0.0013%
沂,6,0.0157%,6,0.0013%
泑,3,0.0078%,6,0.0013%
泒,6,0.0157%,6,0.0013%
洋,6,0.0157%,6,0.0013%
浘,6,0.0157%,6,0.0013%
浹,6,0.0157%,6,0.0013%
涖,6,0.0157%,6,0.0013%
淆,6,0.0157%,6,0.0013%
淖,6,0.0157%,6,0.0013%
淨,6,0.0157%,6,0.0013%
測,6,0.0157%,6,0.0013%
渰,6,0.0157%,6,0.0013%
湊,6,0.0157%,6,0.0013%
湜,6,0.0157%,6,0.0013%
滔,6,0.0157%,6,0.0013%
滚,6,0.0157%,6,0.0013%
漴,6,0.0157%,6,0.0013%
澗,6,0.0157%,6,0.0013%
炪,6,0.0157%,6,0.0013%
烇,6,0.0157%,6,0.0013%
燃,6,0.0157%,6,0.0013%
牲,6,0.0157%,6,0.0013%
狐,6,0.0157%,6,0.0013%
猫,5,0.0130%,6,0.0013%
猾,6,0.0157%,6,0.0013%
珝,6,0.0157%,6,0.0013%
琢,6,0.0157%,6,0.0013%
瑛,6,0.0157%,6,0.0013%
璋,6,0.0157%,6,0.0013%
瓆,6,0.0157%,6,0.0013%
甥,6,0.0157%,6,0.0013%
疇,6,0.0157%,6,0.0013%
瘡,6,0.0157%,6,0.0013%
磋,6,0.0157%,6,0.0013%
磚,6,0.0157%,6,0.0013%
穹,5,0.0130%,6,0.0013%
竝,6,0.0157%,6,0.0013%
筥,6,0.0157%,6,0.0013%
箴,6,0.0157%,6,0.0013%
簧,6,0.0157%,6,0.0013%
粃,6,0.0157%,6,0.0013%
粓,6,0.0157%,6,0.0013%
粘,6,0.0157%,6,0.0013%
糁,6,0.0157%,6,0.0013%
絢,6,0.0157%,6,0.0013%
綜,6,0.0157%,6,0.0013%
綬,6,0.0157%,6,0.0013%
縈,6,0.0157%,6,0.0013%
繳,6,0.0157%,6,0.0013%
纂,6,0.0157%,6,0.0013%
罡,6,0.0157%,6,0.0013%
罹,6,0.0157%,6,0.0013%
耄,6,0.0157%,6,0.0013%
肄,6,0.0157%,6,0.0013%
腥,6,0.0157%,6,0.0013%
芥,6,0.0157%,6,0.0013%
芮,6,0.0157%,6,0.0013%
芹,5,0.0130%,6,0.0013%
苑,6,0.0157%,6,0.0013%
茸,6,0.0157%,6,0.0013%
菫,6,0.0157%,6,0.0013%
萍,5,0.0130%,6,0.0013%
葬,6,0.0157%,6,0.0013%
蔚,6,0.0157%,6,0.0013%
蕋,6,0.0157%,6,0.0013%
蝟,6,0.0157%,6,0.0013%
蟳,6,0.0157%,6,0.0013%
蟾,6,0.0157%,6,0.0013%
覦,6,0.0157%,6,0.0013%
觸,6,0.0157%,6,0.0013%
訃,6,0.0157%,6,0.0013%
諍,6,0.0157%,6,0.0013%
譟,6,0.0157%,6,0.0013%
豕,6,0.0157%,6,0.0013%
貔,6,0.0157%,6,0.0013%
賎,6,0.0157%,6,0.0013%
趨,6,0.0157%,6,0.0013%
跋,6,0.0157%,6,0.0013%
躋,6,0.0157%,6,0.0013%
轄,6,0.0157%,6,0.0013%
还,6,0.0157%,6,0.0013%
逝,6,0.0157%,6,0.0013%
遛,6,0.0157%,6,0.0013%
郕,6,0.0157%,6,0.0013%
酺,6,0.0157%,6,0.0013%
鈍,6,0.0157%,6,0.0013%
鈞,6,0.0157%,6,0.0013%
鉑,6,0.0157%,6,0.0013%
錡,5,0.0130%,6,0.0013%
鍪,6,0.0157%,6,0.0013%
鏤,6,0.0157%,6,0.0013%
鏳,6,0.0157%,6,0.0013%
鑌,6,0.0157%,6,0.0013%
閙,6,0.0157%,6,0.0013%
閽,6,0.0157%,6,0.0013%
闌,6,0.0157%,6,0.0013%
闒,6,0.0157%,6,0.0013%
零,6,0.0157%,6,0.0013%
霞,6,0.0157%,6,0.0013%
頔,4,0.0104%,6,0.0013%
饌,6,0.0157%,6,0.0013%
馨,6,0.0157%,6,0.0013%
驪,6,0.0157%,6,0.0013%
鬟,6,0.0157%,6,0.0013%
鱗,6,0.0157%,6,0.0013%
鴛,6,0.0157%,6,0.0013%
鶧,6,0.0157%,6,0.0013%
鼻,5,0.0130%,6,0.0013%
𠚢,6,0.0157%,6,0.0013%
𠯪,6,0.0157%,6,0.0013%
𠱾,6,0.0157%,6,0.0013%
𠴔,6,0.0157%,6,0.0013%
𠶀,6,0.0157%,6,0.0013%
𠽐,6,0.0157%,6,0.0013%
𡎟,6,0.0157%,6,0.0013%
𡏦,6,0.0157%,6,0.0013%
𡐡,6,0.0157%,6,0.0013%
𢀭,6,0.0157%,6,0.0013%
𢪒,6,0.0157%,6,0.0013%
𢲛,6,0.0157%,6,0.0013%
𢴿,6,0.0157%,6,0.0013%
𣛟,6,0.0157%,6,0.0013%
𣷮,6,0.0157%,6,0.0013%
𤇊,6,0.0157%,6,0.0013%
𤉗,6,0.0157%,6,0.0013%
𤎎,6,0.0157%,6,0.0013%
𤴪,6,0.0157%,6,0.0013%
𤿰,6,0.0157%,6,0.0013%
𥾾,6,0.0157%,6,0.0013%
𦇒,6,0.0157%,6,0.0013%
𦊛,6,0.0157%,6,0.0013%
𦚐,6,0.0157%,6,0.0013%
𧏵,6,0.0157%,6,0.0013%
𧣳,6,0.0157%,6,0.0013%
𧦈,6,0.0157%,6,0.0013%
𨀒,6,0.0157%,6,0.0013%
𨃐,6,0.0157%,6,0.0013%
𨇍,6,0.0157%,6,0.0013%
𨔾,6,0.0157%,6,0.0013%
𨠳,6,0.0157%,6,0.0013%
𨫊,6,0.0157%,6,0.0013%
𩆋,6,0.0157%,6,0.0013%
𩑛,6,0.0157%,6,0.0013%
𪚔,5,0.0130%,6,0.0013%
𪡔,6,0.0157%,6,0.0013%
𪵟,6,0.0157%,6,0.0013%
𫃚,6,0.0157%,6,0.0013%
𫒥,6,0.0157%,6,0.0013%
𫡉,6,0.0157%,6,0.0013%
𫼢,6,0.0157%,6,0.0013%
𬆅,6,0.0157%,6,0.0013%
𬟗,6,0.0157%,6,0.0013%
𭴣,6,0.0157%,6,0.0013%
󰆙,6,0.0157%,6,0.0013%
󰉲,6,0.0157%,6,0.0013%
󰋈,6,0.0157%,6,0.0013%
󰒜,6,0.0157%,6,0.0013%
󰕖,6,0.0157%,6,0.0013%
󰖆,6,0.0157%,6,0.0013%
󰖶,6,0.0157%,6,0.0013%
󰖽,6,0.0157%,6,0.0013%
󰠋,6,0.0157%,6,0.0013%
󰠮,6,0.0157%,6,0.0013%
󰥣,5,0.0130%,6,0.0013%
󱏹,6,0.0157%,6,0.0013%
󱚷,6,0.0157%,6,0.0013%
㐮,5,0.0130%,5,0.0011%
㙁,5,0.0130%,5,0.0011%
㨗,5,0.0130%,5,0.0011%
䌫,5,0.0130%,5,0.0011%
䮐,5,0.0130%,5,0.0011%
䯻,5,0.0130%,5,0.0011%
亷,5,0.0130%,5,0.0011%
从,5,0.0130%,5,0.0011%
俚,5,0.0130%,5,0.0011%
倩,4,0.0104%,5,0.0011%
偃,5,0.0130%,5,0.0011%
兠,5,0.0130%,5,0.0011%
凍,5,0.0130%,5,0.0011%
凰,5,0.0130%,5,0.0011%
勍,5,0.0130%,5,0.0011%
勵,5,0.0130%,5,0.0011%
厩,5,0.0130%,5,0.0011%
厮,4,0.0104%,5,0.0011%
叨,5,0.0130%,5,0.0011%
吁,4,0.0104%,5,0.0011%
吸,5,0.0130%,5,0.0011%
咎,5,0.0130%,5,0.0011%
咮,5,0.0130%,5,0.0011%
啟,5,0.0130%,5,0.0011%
啻,5,0.0130%,5,0.0011%
喁,5,0.0130%,5,0.0011%
囑,5,0.0130%,5,0.0011%
垢,5,0.0130%,5,0.0011%
塚,5,0.0130%,5,0.0011%
寗,5,0.0130%,5,0.0011%
岝,5,0.0130%,5,0.0011%
峰,5,0.0130%,5,0.0011%
巤,5,0.0130%,5,0.0011%
廓,5,0.0130%,5,0.0011%
徂,5,0.0130%,5,0.0011%
徼,5,0.0130%,5,0.0011%
恋,5,0.0130%,5,0.0011%
恝,5,0.0130%,5,0.0011%
恥,5,0.0130%,5,0.0011%
恶,5,0.0130%,5,0.0011%
悃,5,0.0130%,5,0.0011%
悼,5,0.0130%,5,0.0011%
慙,5,0.0130%,5,0.0011%
慷,5,0.0130%,5,0.0011%
戀,5,0.0130%,5,0.0011%
戱,5,0.0130%,5,0.0011%
扳,5,0.0130%,5,0.0011%
拋,5,0.0130%,5,0.0011%
拽,5,0.0130%,5,0.0011%
挫,5,0.0130%,5,0.0011%
揣,5,0.0130%,5,0.0011%
摶,5,0.0130%,5,0.0011%
撒,5,0.0130%,5,0.0011%
撓,5,0.0130%,5,0.0011%
撥,5,0.0130%,5,0.0011%
擴,5,0.0130%,5,0.0011%
攎,5,0.0130%,5,0.0011%
攢,5,0.0130%,5,0.0011%
敲,5,0.0130%,5,0.0011%
暎,5,0.0130%,5,0.0011%
棘,5,0.0130%,5,0.0011%
楫,5,0.0130%,5,0.0011%
樊,5,0.0130%,5,0.0011%
檡,5,0.0130%,5,0.0011%
櫟,5,0.0130%,5,0.0011%
殃,5,0.0130%,5,0.0011%
毓,5,0.0130%,5,0.0011%
沗,5,0.0130%,5,0.0011%
泳,5,0.0130%,5,0.0011%
涵,5,0.0130%,5,0.0011%
渗,5,0.0130%,5,0.0011%
溱,5,0.0130%,5,0.0011%
潛,5,0.0130%,5,0.0011%
濮,5,0.0130%,5,0.0011%
瀧,5,0.0130%,5,0.0011%
灣,5,0.0130%,5,0.0011%
炯,5,0.0130%,5,0.0011%
焠,5,0.0130%,5,0.0011%
煌,3,0.0078%,5,0.0011%
爺,4,0.0104%,5,0.0011%
片,5,0.0130%,5,0.0011%
狎,5,0.0130%,5,0.0011%
狩,5,0.0130%,5,0.0011%
猝,5,0.0130%,5,0.0011%
獅,5,0.0130%,5,0.0011%
玺,5,0.0130%,5,0.0011%
球,5,0.0130%,5,0.0011%
琉,5,0.0130%,5,0.0011%
瑕,5,0.0130%,5,0.0011%
瑡,5,0.0130%,5,0.0011%
瑣,4,0.0104%,5,0.0011%
瑪,5,0.0130%,5,0.0011%
璘,5,0.0130%,5,0.0011%
甎,5,0.0130%,5,0.0011%
畔,5,0.0130%,5,0.0011%
痴,5,0.0130%,5,0.0011%
瘼,5,0.0130%,5,0.0011%
皚,5,0.0130%,5,0.0011%
监,5,0.0130%,5,0.0011%
盥,5,0.0130%,5,0.0011%
砦,5,0.0130%,5,0.0011%
稚,5,0.0130%,5,0.0011%
穫,5,0.0130%,5,0.0011%
窘,5,0.0130%,5,0.0011%
筏,5,0.0130%,5,0.0011%
筮,5,0.0130%,5,0.0011%
籒,5,0.0130%,5,0.0011%
粥,5,0.0130%,5,0.0011%
糟,5,0.0130%,5,0.0011%
糠,5,0.0130%,5,0.0011%
絜,5,0.0130%,5,0.0011%
絡,5,0.0130%,5,0.0011%
網,5,0.0130%,5,0.0011%
綴,5,0.0130%,5,0.0011%
綺,5,0.0130%,5,0.0011%
線,5,0.0130%,5,0.0011%
縫,5,0.0130%,5,0.0011%
缶,5,0.0130%,5,0.0011%
翔,5,0.0130%,5,0.0011%
翻,5,0.0130%,5,0.0011%
耨,5,0.0130%,5,0.0011%
聊,5,0.0130%,5,0.0011%
腐,5,0.0130%,5,0.0011%
臭,5,0.0130%,5,0.0011%
菴,5,0.0130%,5,0.0011%
萃,5,0.0130%,5,0.0011%
萼,4,0.0104%,5,0.0011%
葚,5,0.0130%,5,0.0011%
葻,5,0.0130%,5,0.0011%
蒯,4,0.0104%,5,0.0011%
蓐,5,0.0130%,5,0.0011%
薜,5,0.0130%,5,0.0011%
蘂,5,0.0130%,5,0.0011%
蛟,5,0.0130%,5,0.0011%
蠆,5,0.0130%,5,0.0011%
蠱,5,0.0130%,5,0.0011%
蠶,5,0.0130%,5,0.0011%
覊,4,0.0104%,5,0.0011%
覷,5,0.0130%,5,0.0011%
觜,5,0.0130%,5,0.0011%
訥,5,0.0130%,5,0.0011%
話,5,0.0130%,5,0.0011%
諮,5,0.0130%,5,0.0011%
貺,5,0.0130%,5,0.0011%
賔,5,0.0130%,5,0.0011%
践,5,0.0130%,5,0.0011%
踞,5,0.0130%,5,0.0011%
蹈,5,0.0130%,5,0.0011%
蹙,5,0.0130%,5,0.0011%
蹴,5,0.0130%,5,0.0011%
蹶,5,0.0130%,5,0.0011%
轍,5,0.0130%,5,0.0011%
迤,5,0.0130%,5,0.0011%
逅,5,0.0130%,5,0.0011%
郁,5,0.0130%,5,0.0011%
酣,5,0.0130%,5,0.0011%
釐,5,0.0130%,5,0.0011%
鉅,5,0.0130%,5,0.0011%
鉛,5,0.0130%,5,0.0011%
銮,5,0.0130%,5,0.0011%
錯,5,0.0130%,5,0.0011%
鍮,5,0.0130%,5,0.0011%
鍳,5,0.0130%,5,0.0011%
鑒,5,0.0130%,5,0.0011%
鑽,5,0.0130%,5,0.0011%
闺,5,0.0130%,5,0.0011%
阁,5,0.0130%,5,0.0011%
阡,5,0.0130%,5,0.0011%
陂,5,0.0130%,5,0.0011%
隍,5,0.0130%,5,0.0011%
隰,5,0.0130%,5,0.0011%
隲,5,0.0130%,5,0.0011%
雕,5,0.0130%,5,0.0011%
電,5,0.0130%,5,0.0011%
霄,5,0.0130%,5,0.0011%
韋,5,0.0130%,5,0.0011%
頷,5,0.0130%,5,0.0011%
顥,5,0.0130%,5,0.0011%
飄,3,0.0078%,5,0.0011%
飱,5,0.0130%,5,0.0011%
饋,5,0.0130%,5,0.0011%
驃,5,0.0130%,5,0.0011%
髀,5,0.0130%,5,0.0011%
鬚,5,0.0130%,5,0.0011%
鬢,5,0.0130%,5,0.0011%
鱷,5,0.0130%,5,0.0011%
鱼,5,0.0130%,5,0.0011%
鵲,4,0.0104%,5,0.0011%
鶯,5,0.0130%,5,0.0011%
麋,5,0.0130%,5,0.0011%
黾,5,0.0130%,5,0.0011%
𠰃,5,0.0130%,5,0.0011%
𠲟,5,0.0130%,5,0.0011%
𠴗,5,0.0130%,5,0.0011%
𠶗,5,0.0130%,5,0.0011%
𠶣,5,0.0130%,5,0.0011%
𠸟,5,0.0130%,5,0.0011%
𡀯,5,0.0130%,5,0.0011%
𡊰,5,0.0130%,5,0.0011%
𡓮,5,0.0130%,5,0.0011%
𡟱,5,0.0130%,5,0.0011%
𡨧,5,0.0130%,5,0.0011%
𡬼,5,0.0130%,5,0.0011%
𡳃,5,0.0130%,5,0.0011%
𡳒,5,0.0130%,5,0.0011%
𡳵,5,0.0130%,5,0.0011%
𡺄,5,0.0130%,5,0.0011%
𢄂,5,0.0130%,5,0.0011%
𢖖,5,0.0130%,5,0.0011%
𢣧,5,0.0130%,5,0.0011%
𢫝,5,0.0130%,5,0.0011%
𢬗,5,0.0130%,5,0.0011%
𣃲,5,0.0130%,5,0.0011%
𣦆,5,0.0130%,5,0.0011%
𣦎,5,0.0130%,5,0.0011%
𣲆,5,0.0130%,5,0.0011%
𤓢,5,0.0130%,5,0.0011%
𤜯,5,0.0130%,5,0.0011%
𥆁,4,0.0104%,5,0.0011%
𥉩,4,0.0104%,5,0.0011%
𥪸,5,0.0130%,5,0.0011%
𦄂,5,0.0130%,5,0.0011%
𧍰,5,0.0130%,5,0.0011%
𧗼,5,0.0130%,5,0.0011%
𧯄,5,0.0130%,5,0.0011%
𧴤,4,0.0104%,5,0.0011%
𧻭,5,0.0130%,5,0.0011%
𨆝,5,0.0130%,5,0.0011%
𨒒,4,0.0104%,5,0.0011%
𨒖,5,0.0130%,5,0.0011%
𨨲,5,0.0130%,5,0.0011%
𫫗,5,0.0130%,5,0.0011%
𫰅,5,0.0130%,5,0.0011%
𬆄,5,0.0130%,5,0.0011%
𬧖,5,0.0130%,5,0.0011%
󰉎,4,0.0104%,5,0.0011%
󰉓,5,0.0130%,5,0.0011%
󰋞,5,0.0130%,5,0.0011%
󰌵,5,0.0130%,5,0.0011%
󰕑,5,0.0130%,5,0.0011%
󰖁,5,0.0130%,5,0.0011%
󰖛,5,0.0130%,5,0.0011%
󰙃,5,0.0130%,5,0.0011%
󰚴,5,0.0130%,5,0.0011%
󰡣,5,0.0130%,5,0.0011%
󰪀,5,0.0130%,5,0.0011%
󰰿,5,0.0130%,5,0.0011%
󰱤,5,0.0130%,5,0.0011%
󰱩,5,0.0130%,5,0.0011%
󰷳,5,0.0130%,5,0.0011%
㑏,4,0.0104%,4,0.0009%
㕵,4,0.0104%,4,0.0009%
㗍,4,0.0104%,4,0.0009%
㜮,4,0.0104%,4,0.0009%
㝠,4,0.0104%,4,0.0009%
㥁,4,0.0104%,4,0.0009%
㩜,4,0.0104%,4,0.0009%
㬓,3,0.0078%,4,0.0009%
㬰,4,0.0104%,4,0.0009%
䄇,4,0.0104%,4,0.0009%
䄔,4,0.0104%,4,0.0009%
䄚,4,0.0104%,4,0.0009%
䐧,4,0.0104%,4,0.0009%
䚂,4,0.0104%,4,0.0009%
亇,4,0.0104%,4,0.0009%
亟,4,0.0104%,4,0.0009%
仄,3,0.0078%,4,0.0009%
俛,4,0.0104%,4,0.0009%
俳,4,0.0104%,4,0.0009%
偈,4,0.0104%,4,0.0009%
僵,4,0.0104%,4,0.0009%
兀,4,0.0104%,4,0.0009%
兔,4,0.0104%,4,0.0009%
党,4,0.0104%,4,0.0009%
冉,4,0.0104%,4,0.0009%
凈,4,0.0104%,4,0.0009%
凜,4,0.0104%,4,0.0009%
刅,4,0.0104%,4,0.0009%
刪,4,0.0104%,4,0.0009%
剖,4,0.0104%,4,0.0009%
勁,4,0.0104%,4,0.0009%
卲,4,0.0104%,4,0.0009%
厦,4,0.0104%,4,0.0009%
咳,4,0.0104%,4,0.0009%
售,4,0.0104%,4,0.0009%
唿,4,0.0104%,4,0.0009%
啖,4,0.0104%,4,0.0009%
啸,4,0.0104%,4,0.0009%
喉,4,0.0104%,4,0.0009%
喪,4,0.0104%,4,0.0009%
喫,4,0.0104%,4,0.0009%
噤,4,0.0104%,4,0.0009%
噪,4,0.0104%,4,0.0009%
囘,4,0.0104%,4,0.0009%
团,4,0.0104%,4,0.0009%
圜,4,0.0104%,4,0.0009%
坑,4,0.0104%,4,0.0009%
堦,4,0.0104%,4,0.0009%
堰,4,0.0104%,4,0.0009%
壑,4,0.0104%,4,0.0009%
壓,4,0.0104%,4,0.0009%
壹,4,0.0104%,4,0.0009%
套,4,0.0104%,4,0.0009%
奥,4,0.0104%,4,0.0009%
姨,4,0.0104%,4,0.0009%
娓,4,0.0104%,4,0.0009%
媲,4,0.0104%,4,0.0009%
嫉,4,0.0104%,4,0.0009%
嫗,4,0.0104%,4,0.0009%
寤,4,0.0104%,4,0.0009%
展,4,0.0104%,4,0.0009%
峝,4,0.0104%,4,0.0009%
幞,3,0.0078%,4,0.0009%
庻,4,0.0104%,4,0.0009%
廖,4,0.0104%,4,0.0009%
廼,4,0.0104%,4,0.0009%
徨,4,0.0104%,4,0.0009%
怏,2,0.0052%,4,0.0009%
怙,4,0.0104%,4,0.0009%
恼,4,0.0104%,4,0.0009%
悍,4,0.0104%,4,0.0009%
惓,2,0.0052%,4,0.0009%
惵,4,0.0104%,4,0.0009%
愾,4,0.0104%,4,0.0009%
愿,4,0.0104%,4,0.0009%
憭,4,0.0104%,4,0.0009%
懈,4,0.0104%,4,0.0009%
懽,4,0.0104%,4,0.0009%
戡,4,0.0104%,4,0.0009%
戸,4,0.0104%,4,0.0009%
扑,4,0.0104%,4,0.0009%
扙,4,0.0104%,4,0.0009%
抒,4,0.0104%,4,0.0009%
抽,4,0.0104%,4,0.0009%
拏,4,0.0104%,4,0.0009%
挟,4,0.0104%,4,0.0009%
挽,4,0.0104%,4,0.0009%
捞,4,0.0104%,4,0.0009%
掊,4,0.0104%,4,0.0009%
摺,4,0.0104%,4,0.0009%
撲,4,0.0104%,4,0.0009%
擐,4,0.0104%,4,0.0009%
攀,4,0.0104%,4,0.0009%
攄,4,0.0104%,4,0.0009%
斁,4,0.0104%,4,0.0009%
斑,4,0.0104%,4,0.0009%
旣,4,0.0104%,4,0.0009%
昵,4,0.0104%,4,0.0009%
晢,4,0.0104%,4,0.0009%
晶,4,0.0104%,4,0.0009%
暢,4,0.0104%,4,0.0009%
朞,4,0.0104%,4,0.0009%
札,4,0.0104%,4,0.0009%
柝,4,0.0104%,4,0.0009%
株,4,0.0104%,4,0.0009%
棦,4,0.0104%,4,0.0009%
楃,4,0.0104%,4,0.0009%
榶,4,0.0104%,4,0.0009%
殼,4,0.0104%,4,0.0009%
泮,4,0.0104%,4,0.0009%
泯,4,0.0104%,4,0.0009%
淩,4,0.0104%,4,0.0009%
渊,4,0.0104%,4,0.0009%
滑,4,0.0104%,4,0.0009%
漓,4,0.0104%,4,0.0009%
漿,4,0.0104%,4,0.0009%
潶,4,0.0104%,4,0.0009%
澆,4,0.0104%,4,0.0009%
澡,4,0.0104%,4,0.0009%
瀉,4,0.0104%,4,0.0009%
灑,4,0.0104%,4,0.0009%
烙,4,0.0104%,4,0.0009%
烟,3,0.0078%,4,0.0009%
焰,4,0.0104%,4,0.0009%
熯,4,0.0104%,4,0.0009%
熱,4,0.0104%,4,0.0009%
